group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Means,Par,10000,,,1425583.0,ns,9
Means,Par,10000,,,2828666.0,ns,18
Means,Par,10000,,,3159083.0,ns,27
Means,Par,10000,,,4966625.0,ns,36
Means,Par,10000,,,5271708.0,ns,45
Means,Par,10000,,,6951084.0,ns,54
Means,Par,10000,,,7901500.0,ns,63
Means,Par,10000,,,9306666.0,ns,72
Means,Par,10000,,,10598458.0,ns,81
Means,Par,10000,,,11440750.0,ns,90
Means,Par,10000,,,13740917.0,ns,99
Means,Par,10000,,,14176666.0,ns,108
Means,Par,10000,,,14712625.0,ns,117
Means,Par,10000,,,15478584.0,ns,126
Means,Par,10000,,,17837167.0,ns,135
Means,Par,10000,,,17900000.0,ns,144
Means,Par,10000,,,20349625.0,ns,153
Means,Par,10000,,,21187125.0,ns,162
Means,Par,10000,,,20666375.0,ns,171
Means,Par,10000,,,22856250.0,ns,180
Means,Par,10000,,,23038542.0,ns,189
Means,Par,10000,,,25962459.0,ns,198
Means,Par,10000,,,25012792.0,ns,207
Means,Par,10000,,,27117292.0,ns,216
Means,Par,10000,,,28345416.0,ns,225
Means,Par,10000,,,31165041.0,ns,234
Means,Par,10000,,,32326333.0,ns,243
Means,Par,10000,,,31088792.0,ns,252
Means,Par,10000,,,31877667.0,ns,261
Means,Par,10000,,,34028084.0,ns,270
Means,Par,10000,,,34365959.0,ns,279
Means,Par,10000,,,36431583.0,ns,288
Means,Par,10000,,,38148208.0,ns,297
Means,Par,10000,,,37522333.0,ns,306
Means,Par,10000,,,41117916.0,ns,315
Means,Par,10000,,,41883417.0,ns,324
Means,Par,10000,,,41017500.0,ns,333
Means,Par,10000,,,41921291.0,ns,342
Means,Par,10000,,,44393042.0,ns,351
Means,Par,10000,,,44389042.0,ns,360
Means,Par,10000,,,42816875.0,ns,369
Means,Par,10000,,,45560834.0,ns,378
Means,Par,10000,,,47723750.0,ns,387
Means,Par,10000,,,48658292.0,ns,396
Means,Par,10000,,,50268208.0,ns,405
Means,Par,10000,,,50696916.0,ns,414
Means,Par,10000,,,53602541.0,ns,423
Means,Par,10000,,,54809708.0,ns,432
Means,Par,10000,,,55170833.0,ns,441
Means,Par,10000,,,56796541.0,ns,450
Means,Par,10000,,,59335958.0,ns,459
Means,Par,10000,,,57788375.0,ns,468
Means,Par,10000,,,57312958.0,ns,477
Means,Par,10000,,,60742875.0,ns,486
Means,Par,10000,,,60605666.0,ns,495
Means,Par,10000,,,62885208.0,ns,504
Means,Par,10000,,,63459500.0,ns,513
Means,Par,10000,,,64181375.0,ns,522
Means,Par,10000,,,65800084.0,ns,531
Means,Par,10000,,,68564792.0,ns,540
Means,Par,10000,,,69984916.0,ns,549
Means,Par,10000,,,72312417.0,ns,558
Means,Par,10000,,,69713125.0,ns,567
Means,Par,10000,,,70992542.0,ns,576
Means,Par,10000,,,69050125.0,ns,585
Means,Par,10000,,,69498083.0,ns,594
Means,Par,10000,,,74191208.0,ns,603
Means,Par,10000,,,72236542.0,ns,612
Means,Par,10000,,,74894250.0,ns,621
Means,Par,10000,,,76177958.0,ns,630
Means,Par,10000,,,77423291.0,ns,639
Means,Par,10000,,,78869750.0,ns,648
Means,Par,10000,,,81198250.0,ns,657
Means,Par,10000,,,81701667.0,ns,666
Means,Par,10000,,,81676625.0,ns,675
Means,Par,10000,,,83153667.0,ns,684
Means,Par,10000,,,86600125.0,ns,693
Means,Par,10000,,,85838708.0,ns,702
Means,Par,10000,,,85663250.0,ns,711
Means,Par,10000,,,87296625.0,ns,720
Means,Par,10000,,,90493000.0,ns,729
Means,Par,10000,,,91778833.0,ns,738
Means,Par,10000,,,92000208.0,ns,747
Means,Par,10000,,,89071500.0,ns,756
Means,Par,10000,,,92774458.0,ns,765
Means,Par,10000,,,92685125.0,ns,774
Means,Par,10000,,,91507875.0,ns,783
Means,Par,10000,,,99567542.0,ns,792
Means,Par,10000,,,100466042.0,ns,801
Means,Par,10000,,,101679208.0,ns,810
Means,Par,10000,,,102326625.0,ns,819
Means,Par,10000,,,103061416.0,ns,828
Means,Par,10000,,,104361333.0,ns,837
Means,Par,10000,,,103119875.0,ns,846
Means,Par,10000,,,103511250.0,ns,855
Means,Par,10000,,,102852208.0,ns,864
Means,Par,10000,,,103791500.0,ns,873
Means,Par,10000,,,104887125.0,ns,882
Means,Par,10000,,,110288083.0,ns,891
Means,Par,10000,,,114297500.0,ns,900
Means,Par,100000,,,931375.0,ns,5
Means,Par,100000,,,2315334.0,ns,10
Means,Par,100000,,,2643042.0,ns,15
Means,Par,100000,,,3734375.0,ns,20
Means,Par,100000,,,5100791.0,ns,25
Means,Par,100000,,,5560167.0,ns,30
Means,Par,100000,,,7124166.0,ns,35
Means,Par,100000,,,7975666.0,ns,40
Means,Par,100000,,,8440708.0,ns,45
Means,Par,100000,,,9478125.0,ns,50
Means,Par,100000,,,11109041.0,ns,55
Means,Par,100000,,,11896125.0,ns,60
Means,Par,100000,,,13755209.0,ns,65
Means,Par,100000,,,13647792.0,ns,70
Means,Par,100000,,,14969208.0,ns,75
Means,Par,100000,,,15129833.0,ns,80
Means,Par,100000,,,16668333.0,ns,85
Means,Par,100000,,,17966125.0,ns,90
Means,Par,100000,,,19709250.0,ns,95
Means,Par,100000,,,19688458.0,ns,100
Means,Par,100000,,,20426666.0,ns,105
Means,Par,100000,,,22731625.0,ns,110
Means,Par,100000,,,23733709.0,ns,115
Means,Par,100000,,,24508084.0,ns,120
Means,Par,100000,,,24399459.0,ns,125
Means,Par,100000,,,26840542.0,ns,130
Means,Par,100000,,,26278916.0,ns,135
Means,Par,100000,,,27991583.0,ns,140
Means,Par,100000,,,27852292.0,ns,145
Means,Par,100000,,,30066250.0,ns,150
Means,Par,100000,,,30576791.0,ns,155
Means,Par,100000,,,33077583.0,ns,160
Means,Par,100000,,,31854708.0,ns,165
Means,Par,100000,,,32704500.0,ns,170
Means,Par,100000,,,34578125.0,ns,175
Means,Par,100000,,,37598292.0,ns,180
Means,Par,100000,,,38618333.0,ns,185
Means,Par,100000,,,39846041.0,ns,190
Means,Par,100000,,,39425833.0,ns,195
Means,Par,100000,,,40747708.0,ns,200
Means,Par,100000,,,41427375.0,ns,205
Means,Par,100000,,,42748208.0,ns,210
Means,Par,100000,,,46246041.0,ns,215
Means,Par,100000,,,45071542.0,ns,220
Means,Par,100000,,,46190250.0,ns,225
Means,Par,100000,,,46878834.0,ns,230
Means,Par,100000,,,46273417.0,ns,235
Means,Par,100000,,,49316750.0,ns,240
Means,Par,100000,,,52132500.0,ns,245
Means,Par,100000,,,50383083.0,ns,250
Means,Par,100000,,,52371625.0,ns,255
Means,Par,100000,,,53709584.0,ns,260
Means,Par,100000,,,54809209.0,ns,265
Means,Par,100000,,,55620667.0,ns,270
Means,Par,100000,,,54736500.0,ns,275
Means,Par,100000,,,58595125.0,ns,280
Means,Par,100000,,,59101750.0,ns,285
Means,Par,100000,,,57304458.0,ns,290
Means,Par,100000,,,60093000.0,ns,295
Means,Par,100000,,,59652041.0,ns,300
Means,Par,100000,,,63153792.0,ns,305
Means,Par,100000,,,62255709.0,ns,310
Means,Par,100000,,,62982709.0,ns,315
Means,Par,100000,,,64101125.0,ns,320
Means,Par,100000,,,62403959.0,ns,325
Means,Par,100000,,,62340250.0,ns,330
Means,Par,100000,,,65172458.0,ns,335
Means,Par,100000,,,71354458.0,ns,340
Means,Par,100000,,,72108625.0,ns,345
